inFFT[259].re, 0x00002400,
inFFT[259].im, 0x00000000,
inFFT[260].re, 0x00003800,
inFFT[260].im, 0x00000000,
inFFT[261].re, 0x00003400,
inFFT[261].im, 0x00000000,
inFFT[262].re, 0x00001800,
inFFT[262].im, 0x00000000,
inFFT[263].re, 0xFFFFEC00,
inFFT[263].im, 0x00000000,
inFFT[264].re, 0xFFFFC800,
inFFT[264].im, 0x00000000,
inFFT[265].re, 0xFFFFC400,
inFFT[265].im, 0x00000000,
inFFT[266].re, 0xFFFFEC00,
inFFT[266].im, 0x00000000,
inFFT[267].re, 0x00001400,
inFFT[267].im, 0x00000000,
inFFT[268].re, 0x00003400,
inFFT[268].im, 0x00000000,
inFFT[269].re, 0x00003400,
inFFT[269].im, 0x00000000,
inFFT[270].re, 0x00002000,
inFFT[270].im, 0x00000000,
inFFT[271].re, 0xFFFFFC00,
inFFT[271].im, 0x00000000,
inFFT[272].re, 0xFFFFD000,
inFFT[272].im, 0x00000000,
inFFT[273].re, 0xFFFFB800,
inFFT[273].im, 0x00000000,
inFFT[274].re, 0xFFFFB400,
inFFT[274].im, 0x00000000,
inFFT[275].re, 0xFFFFC800,
inFFT[275].im, 0x00000000,
inFFT[276].re, 0xFFFFEC00,
inFFT[276].im, 0x00000000,
inFFT[277].re, 0x00001800,
inFFT[277].im, 0x00000000,
inFFT[278].re, 0x00003400,
inFFT[278].im, 0x00000000,
inFFT[279].re, 0x00003800,
inFFT[279].im, 0x00000000,
inFFT[280].re, 0x00002400,
inFFT[280].im, 0x00000000,
inFFT[281].re, 0xFFFFFC00,
inFFT[281].im, 0x00000000,
inFFT[282].re, 0xFFFFD000,
inFFT[282].im, 0x00000000,
inFFT[283].re, 0xFFFFB800,
inFFT[283].im, 0x00000000,
inFFT[284].re, 0xFFFFB000,
inFFT[284].im, 0x00000000,
inFFT[285].re, 0xFFFFC800,
inFFT[285].im, 0x00000000,
inFFT[286].re, 0xFFFFEC00,
inFFT[286].im, 0x00000000,
inFFT[287].re, 0x00001800,
inFFT[287].im, 0x00000000,
inFFT[288].re, 0x00003000,
inFFT[288].im, 0x00000000,
inFFT[289].re, 0x00003800,
inFFT[289].im, 0x00000000,
inFFT[290].re, 0x00002000,
inFFT[290].im, 0x00000000,
inFFT[291].re, 0xFFFFFC00,
inFFT[291].im, 0x00000000,
inFFT[292].re, 0xFFFFD000,
inFFT[292].im, 0x00000000,
inFFT[293].re, 0xFFFFB400,
inFFT[293].im, 0x00000000,
inFFT[294].re, 0xFFFFB400,
inFFT[294].im, 0x00000000,
inFFT[295].re, 0xFFFFC800,
inFFT[295].im, 0x00000000,
inFFT[296].re, 0xFFFFF000,
inFFT[296].im, 0x00000000,
inFFT[297].re, 0x00001800,
inFFT[297].im, 0x00000000,
inFFT[298].re, 0x00003400,
inFFT[298].im, 0x00000000,
inFFT[299].re, 0x00003800,
